"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","0","","2","0","","0"
"1","","0","Проверка репозитория","0","0","В репозитории есть вкладка Issues с записью","0"
"0","","0","Задачи в репозитории","1","0","Неавторизованный пользователь не может создать задачу в репозитории","0"
"0","","0","Задачи в репозитории","1","0","Авторизованный пользователь может создать задачу в репозитории","0"
