"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","test_dynamic_github","tests","Wed Nov 19 09:40:58 UTC 2025","broken","Wed Nov 19 09:40:58 UTC 2025","","test_steps","",""
"","0","test_no_labels","tests","Wed Nov 19 09:40:54 UTC 2025","passed","Wed Nov 19 09:40:54 UTC 2025","","test_labels","",""
"","0","test_dynamic_labels_github","tests","Wed Nov 19 09:40:54 UTC 2025","passed","Wed Nov 19 09:40:54 UTC 2025","","test_labels","",""
"","110","test_decorator_steps","tests","Wed Nov 19 09:40:58 UTC 2025","broken","Wed Nov 19 09:40:58 UTC 2025","","test_steps","",""
"","1","test_attachments","tests","Wed Nov 19 09:40:54 UTC 2025","passed","Wed Nov 19 09:40:54 UTC 2025","","test_attachments","",""
"","0","test_decorator_labels","tests","Wed Nov 19 09:40:54 UTC 2025","passed","Wed Nov 19 09:40:54 UTC 2025","","test_labels","",""
"","3391","test_github","tests","Wed Nov 19 09:40:54 UTC 2025","broken","Wed Nov 19 09:40:58 UTC 2025","","test_selene","",""
